d6, 78, 8a, #d6788a, 0
c9, c1, 94, #c9c194, 0
5b, 05, 74, #5b0574, 1
80, 85, e1, #8085e1, 1
19, 4b, 14, #194b14, 0
b8, e8, 51, #b8e851, 0
23, 49, 72, #234972, 0
6b, 8f, 13, #6b8f13, 0
af, 46, 6b, #af466b, 0
0e, 88, ec, #0e88ec, 0
b3, eb, a2, #b3eba2, 0
f2, 4b, e4, #f24be4, 0
03, 21, 40, #032140, 0
87, 66, 99, #876699, 1
23, 52, 64, #235264, 0
53, f2, c9, #53f2c9, 0
58, a1, cf, #58a1cf, 0
19, 0b, 02, #190b02, 0
39, fd, 33, #39fd33, 0
b8, 05, b4, #b805b4, 0
f3, 89, 05, #f38905, 0
2a, 4d, 80, #2a4d80, 0
b8, c6, 56, #b8c656, 0
32, e7, 2b, #32e72b, 0
ee, d9, 2c, #eed92c, 0
98, b5, 09, #98b509, 0
af, a6, be, #afa6be, 0
d0, e2, 3c, #d0e23c, 0
51, c8, 49, #51c849, 0
94, e6, 28, #94e628, 0
7e, 08, f3, #7e08f3, 1
2a, 71, ee, #2a71ee, 0
ad, d8, 36, #add836, 0
26, 59, ce, #2659ce, 0
10, 56, 4a, #10564a, 0
de, 13, f8, #de13f8, 0
1e, 89, 1a, #1e891a, 0
9d, c6, e6, #9dc6e6, 0
cb, 8a, 0c, #cb8a0c, 0
0b, ce, f1, #0bcef1, 0
ed, ec, 00, #edec00, 0
3b, bb, 5b, #3bbb5b, 0
2f, 52, d5, #2f52d5, 0
64, 8b, e3, #648be3, 0
76, dd, 69, #76dd69, 0
ea, 30, 71, #ea3071, 0
39, 62, a7, #3962a7, 0
fd, 29, 6f, #fd296f, 0
0b, b3, 4b, #0bb34b, 0
61, 7a, 72, #617a72, 0
b8, f5, 2b, #b8f52b, 0
9a, b5, 84, #9ab584, 0
bf, bd, 71, #bfbd71, 0
46, 64, 32, #466432, 0
64, f3, 3d, #64f33d, 0
8d, fc, 53, #8dfc53, 0
2d, e6, ec, #2de6ec, 0
f0, 99, 00, #f09900, 0
82, 79, 86, #827986, 0
f8, fd, 8a, #f8fd8a, 0
4e, f6, 62, #4ef662, 0
56, 9f, 7f, #569f7f, 0
0a, 67, 2d, #0a672d, 0
af, 9b, 59, #af9b59, 0
7f, 21, f6, #7f21f6, 1
9a, 8f, 1e, #9a8f1e, 0
04, fb, 88, #04fb88, 0
1b, f5, bd, #1bf5bd, 0
1d, 0a, 8a, #1d0a8a, 1
f4, af, d9, #f4afd9, 0
7d, 43, e0, #7d43e0, 1
11, 85, 53, #118553, 0
c3, ef, b3, #c3efb3, 0
60, e2, c5, #60e2c5, 0
52, b0, cc, #52b0cc, 0
81, d7, 15, #81d715, 0
6f, 95, 98, #6f9598, 0
33, 88, ca, #3388ca, 0
83, 37, 30, #833730, 0
dd, c5, dc, #ddc5dc, 0
cc, 69, 3a, #cc693a, 0
16, ba, c3, #16bac3, 0
68, 67, c2, #6867c2, 1
f9, 85, bd, #f985bd, 0
40, d3, 81, #40d381, 0
81, 37, c8, #8137c8, 1
04, 0f, 8d, #040f8d, 0
ef, 23, 7e, #ef237e, 0
cb, d8, 14, #cbd814, 0
16, 07, 95, #160795, 1
32, 95, cb, #3295cb, 0
99, 08, d9, #9908d9, 1
bd, 7b, aa, #bd7baa, 1
9d, 1a, 32, #9d1a32, 0
e4, f5, aa, #e4f5aa, 0
69, 87, 51, #698751, 0
43, f4, 02, #43f402, 0
ad, 12, 10, #ad1210, 0
6c, 6e, 07, #6c6e07, 0
e7, ec, 34, #e7ec34, 0
e3, 3f, db, #e33fdb, 0
a9, 82, fa, #a982fa, 1
57, 75, a4, #5775a4, 0
9e, 96, 6d, #9e966d, 0
78, 16, 82, #781682, 1
39, 62, 11, #396211, 0
7c, 5f, 18, #7c5f18, 0
58, 3f, dd, #583fdd, 1
1f, c7, b2, #1fc7b2, 0
37, 6e, 25, #376e25, 0
27, 0b, df, #270bdf, 1
9e, 39, 75, #9e3975, 1
d6, 81, 16, #d68116, 0
f1, 11, fb, #f111fb, 0
8e, 35, 62, #8e3562, 1
f5, 48, dc, #f548dc, 0
45, 60, 0f, #45600f, 0
cb, c9, 94, #cbc994, 0
b1, 8b, bd, #b18bbd, 1
d3, 47, a0, #d347a0, 1
fc, 71, 5f, #fc715f, 0
8a, 94, ff, #8a94ff, 0
35, 35, 90, #353590, 0
3a, 7b, 80, #3a7b80, 0
4c, da, 31, #4cda31, 0
42, b5, 85, #42b585, 0
90, a6, 6f, #90a66f, 0
63, 88, 68, #638868, 0
46, 67, 23, #466723, 0
64, c3, 4d, #64c34d, 0
64, 71, 27, #647127, 0
09, 36, ae, #0936ae, 0
3d, 5e, 11, #3d5e11, 0
53, f8, 01, #53f801, 0
f0, 75, 5b, #f0755b, 0
8a, a4, e2, #8aa4e2, 0
b6, ff, 5b, #b6ff5b, 0
03, 25, 87, #032587, 0
2b, a9, 12, #2ba912, 0
ec, c5, 3b, #ecc53b, 0
98, e1, 07, #98e107, 0
77, bb, f4, #77bbf4, 0
79, 59, 89, #795989, 1
d2, 93, 04, #d29304, 0
3e, 9c, 55, #3e9c55, 0
b7, 33, 16, #b73316, 0
64, 2c, 1a, #642c1a, 0
ac, ec, d4, #acecd4, 0
e7, e1, 38, #e7e138, 0
2e, 64, e2, #2e64e2, 0
36, 60, a4, #3660a4, 0
22, 43, c3, #2243c3, 0
8e, 7a, 67, #8e7a67, 0
16, cb, fd, #16cbfd, 0
48, fb, 0e, #48fb0e, 0
13, 5d, 42, #135d42, 0
9e, 69, 59, #9e6959, 0
35, 53, 81, #355381, 0
1c, 2e, 6b, #1c2e6b, 0
c5, 0f, 8b, #c50f8b, 0
42, 62, 28, #426228, 0
e4, bc, 05, #e4bc05, 0
3d, db, ec, #3ddbec, 0
bf, 2b, 85, #bf2b85, 1
fe, 45, b8, #fe45b8, 0
c4, a9, 17, #c4a917, 0
35, 55, 37, #355537, 0
8d, d3, 00, #8dd300, 0
7d, 11, f9, #7d11f9, 1
